, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,,,,
Data Source, http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   ,,,,,,,,,,,
Mar-05," 22,500 "," 3,337 "," 1,342 "," 1,244 "," 28,423 "," 20,215 "," 1,498 "," 1,517 ", 121 ," 23,351 ",,,,,,,,,,,
Apr-05," 23,234 "," 3,150 "," 1,143 "," 1,546 "," 29,073 "," 19,183 "," 1,047 "," 1,012 ", 170 ," 21,412 ",,,,,,,,,,,
May-05," 23,342 "," 3,486 "," 1,356 "," 1,438 "," 29,622 "," 19,186 "," 1,549 ", 908 , 107 ," 21,750 ",,,,,,,,,,,
Jun-05," 24,660 "," 3,603 "," 1,563 "," 1,011 "," 30,837 "," 20,818 "," 1,320 "," 1,247 ", 98 ," 23,483 ",,,,,,,,,,,
Jul-05," 20,461 "," 2,963 "," 1,300 "," 1,402 "," 26,126 "," 14,325 "," 1,154 "," 1,063 ", 256 ," 16,798 ",,,,,,,,,,,
Aug-05," 24,001 "," 3,553 "," 1,614 "," 1,702 "," 30,870 "," 20,260 "," 1,141 "," 1,005 ", 126 ," 22,532 ",,,,,,,,,,,
Sep-05," 23,516 "," 3,417 "," 1,574 "," 1,787 "," 30,294 "," 19,841 ", 963 ," 1,314 ", 188 ," 22,306 ",,,,,,,,,,,
Oct-05," 24,972 "," 3,076 "," 1,653 "," 1,832 "," 31,533 "," 21,539 "," 1,211 "," 1,164 ", 247 ," 24,161 ",,,,,,,,,,,
Nov-05," 20,799 "," 2,397 "," 1,598 "," 1,411 "," 26,205 "," 14,934 ", 887 ," 1,179 ", 178 ," 17,178 ",,,,,,,,,,,
Dec-05," 18,940 "," 2,164 "," 1,014 "," 1,408 "," 23,526 "," 13,956 ", 828 , 842 , 95 ," 15,721 ",,,,,,,,,,,
Jan-06," 23,784 "," 2,955 "," 1,292 "," 1,487 "," 29,518 "," 17,853 "," 1,365 ", 979 , 134 ," 20,331 ",,,,,,,,,,,
